name,calories,calories,protein,fat,carbohydrate,fiber,sodium,portion_size,serving_unit,food_category,allergens,glycemic_index
"Broccoli, Region 2, n/a, Yes, Minerals - NFY01048M",0.0,0.0,0.0,0.0,0.0,0.0,25.0,,,Uncategorized,None,0
"Broccoli, Region 2, n/a, Yes, Fiber - NFY01048R",0.0,0.0,0.0,0.0,0.0,2.5,0.0,,,Uncategorized,None,0
"Broccoli, Region 2, n/a, Yes, Proximates - NFY01049F",0.0,0.0,0.0,0.3,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY01049N",0.0,0.0,0.0,0.29,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 2, n/a, Yes, Minerals - NFY01049P",0.0,0.0,0.0,0.0,0.0,0.0,32.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 2, n/a, Yes, Fiber - NFY01049U",0.0,0.0,0.0,0.0,0.0,2.2,0.0,,,Uncategorized,None,0
"Broccoli, Cooked, Region 2, n/a, Yes, Proximates - NFY0104AN",0.0,0.0,0.0,0.45,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D7D",0.0,0.0,0.0,0.31,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D7F",0.0,0.0,0.0,0.0,0.0,0.0,32.0,,,Uncategorized,None,0
"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Proximates - NFY010D8W",0.0,0.0,0.0,0.43,0.0,0.0,0.0,,,Uncategorized,None,0
"Broccoli, steamed, Pass 2, Region 2, n/a, Yes, Minerals - NFY010D8X",0.0,0.0,0.0,0.0,0.0,0.0,62.0,,,Uncategorized,None,0
"Broccoli, Pass 2, Region 4, n/a, Yes, Minerals - NFY010CVA",0.0,0.0,0.0,0.0,0.0,0.0,51.0,,,Uncategorized,None,0
